Store_name,Date,Review,Photo
백억하누 강남본점,22.3.13,진정한 투뿔한우의 매력을 느낄수 있는 곳 하트,0
강남진해장,22.3.13,"오늘은 육수가 약간 연하네요~
김치 깍뚜기도 맛나요 웃음",1
백억하누 강남본점,22.3.14,친절하시고 서비스 쵝오!,0
강남진해장,22.3.14,좋아요,0
강남진해장,22.3.14,맛나요,0
백억하누 강남본점,22.3.15,매장 분위기도 좋고 환기도 100퍼센트 웃음,0
백억하누 강남본점,22.3.15,룸이 있어서 가족들끼리 조용하게 식사해서 좋았습니다~,0
백억하누 강남본점,22.3.16,매장 무진장 넓어서 좋습니다!,1
백억하누 강남본점,22.3.16,여기보다 맛있는 투뿔한우집이 있을까?!,0
백억하누 강남본점,22.3.16,투뿔한우는 진짜 말이 필요 없습니다 구웃~!,0
백억하누 강남본점,22.3.16,투뿔한우 큰 기대하고 먹어봤는데 역시 실망시키지 않네여,0
강남진해장,22.3.16,좋아요,0
강남진해장,22.3.17,굿,0
강남진해장,22.3.17,Good,0
강남진해장,22.3.18,맛나요,0
강남진해장,22.3.18,좋아요,0
강남진해장,22.3.19,단골집 ~,0
백억하누 강남본점,22.3.25,"직원분들 친절하긴 하신데 바쁘신지 요청사항이 항상 늦었어요 실망.. 바쁘신것 같긴했는데.. 감안하더라도 좀 그랬어요!
벨도 최소 5번은 눌러야 오시고..
다시 가서 삼합 먹어보고 싶긴한데.. 먹었던 메뉴들은 조금 질긴 느낌이 다 있었습니다!
재방문은 고민되네요!",0
백억하누 강남본점,22.3.25,너무너무 맛있게 잘먹었어요 웃음,0
백억하누 강남본점,22.3.27,지금 이벤트 하고 있어서 할인된 가격에 맛있게 먹었어요~,0
강남진해장,22.3.28,굿,0
강남진해장,22.3.29,맛나요,0
강남진해장,22.3.31,,1
강남진해장,22.3.31,이근방 가면 포장해가요,0
강남진해장,22.3.31,대박입니다.....존맛탱,1
강남진해장,22.3.4,국물이 진국,0
강남진해장,22.3.5,"넓고 청결해요
양도 만하ㅡ",0
백억하누 강남본점,22.3.7,투뿔한우 어디 한번 맛 보러 왔습니당,0
백억하누 강남본점,22.3.7,친절하고 깨끗하고 맛잇기까지~~!,0
백억하누 강남본점,22.3.7,투뿔한우여서 엄청 부드럽고 땟깔도 좋네요,0
백억하누 강남본점,22.3.7,가족들끼리 오랜만에 외식하러 왔습니다,0
강남진해장,22.3.7,굿,0
백억하누 강남본점,22.3.8,룸 있는 고기집 드문데 여기에 룸 있어 좋았음,0
백억하누 강남본점,22.3.8,"말이 필요없네요, 소고기 맛집 하트",1
백억하누 강남본점,22.3.8,"소고기 맛 조으네요, 배불리 먹음",0
백억하누 강남본점,22.3.8,진짜로 맛집입니다 웃음 후회없네요,0
백억하누 강남본점,22.3.8,백억전복삼합 맛있게 먹구 갑니다,1
백억하누 강남본점,22.3.8,이래서 여기가 소고기 맛집인가봐요 하트하트하트,0
백억하누 강남본점,22.3.8,갈비탕으로 든든하게 식사하고 가요,0
백억하누 강남본점,22.3.8,소고기 맛집 하트,0
백억하누 강남본점,22.3.8,"고기 질부터 달라요, 맛은 넘사벽",0
백억하누 강남본점,22.3.8,재방문각입니다 웃음 맛나요,0
백억하누 강남본점,22.3.8,점심 너무 맛있게 먹구 갑니다,0
강남진해장,22.3.8,"강남진해장은 술먹은 다음날 늘 가는 곳이라
이번에는 곰탕으로 주문했다.

깔끔하고 고기 육향이 가득한 맛이 나는데
왜이럴까, 끝맛이 조금 달린다(달다)

맛있게 먹었지만 오후 내내 속이 부대끼는
아쉬움이 늘 남는 곳이지만 푸짐함에 다시 찾는곳",1
백억하누 강남본점,22.4.12,역시 투뿔한우는 투뿔한우네요!!! 존맛,0
백억하누 강남본점,22.4.12,너무 맛있어서 제 최애 고기집이 되었어요 웃음,1
