,store_name,date,review,photo,length,review_ckeck
6229,구스아일랜드 브루하우스,2021.6.14,,1,0,
6230,파파야리프,2021.6.14,맛있고 좋았는데 음식 중에 하나가 너무 짜서 다 못먹었네요,0,32,맛있고 좋았는데 음식 중에 하나가 너무 짜서 다 못 먹었네요
6231,오리지널시카고피자,2021.6.14,방문일 기준 지극히 개인적인 평 분위기 굿 깔끔 친절 맥주 맛있음 피자 도우 밀가루 향 가득 밀가루를 굳혀 씹어먹는 맛 치즈 양이 적어 시카고 피자 높이가 낮은것 처럼 느껴짐여태 먹어본 여러 시카고피자와 차이가 극명했음 아쉬웠어요 실망,1,131,방문일 기준 지극히 개인적인 평 분위기 굿 깔끔 친절 맥주 맛있음 피자 도우 밀가루 향 가득 밀가루를 굳혀씹어 먹는 맛 치즈 양이 적어 시카고 피자 높이가 낮은 것처럼 느껴짐 여태 먹어본 여러 시카고 피자와 차이가 극명했으면 아쉬웠어요 실망
6232,청류벽,2021.6.15,마싯따,1,3,마싯따
6233,고양이부엌,2021.6.15,좀 정신사납고 뭔가 밥먹기 눈치보이지만 맛있긴해요 근데 다음엔 두끼 갈꺼같음 값 저렴해 보여도 이것저것 추가하면 비싸짐,1,66,좀 정신 사납고 뭔가 밥 먹기 눈치 보이지만 맛있긴 해요 근데 다음엔 두 끼 갈 거 같은 값 저렴해 보여도 이것저것 추가하면 비싸짐
6234,고양이부엌,2021.6.15,좋어요,0,3,좋어요
6235,고양이부엌,2021.6.15,맛있어요,0,4,맛있어요
6236,담소사골순대 강남본점,2021.6.15,친절한 직원분 혼밥 하기도 괜찮,0,17,친절한 직원분 온 밥하기도 괜찮
6237,담소사골순대 강남본점,2021.6.15,맛있어요,0,4,맛있어요
6238,담소사골순대 강남본점,2021.6.15,맛은 있는데 밥이 너무적다,0,14,맛은 있는데 밥이 너무 적다
6239,담소사골순대 강남본점,2021.6.15,좋아요,0,3,좋아요
6240,라그릴리아 SPC스퀘어점,2021.6.15,친절해요,0,4,친절해요
6241,라그릴리아 SPC스퀘어점,2021.6.15,맛있어욯,0,4,맛있어욯
6242,라그릴리아 SPC스퀘어점,2021.6.15,굳,0,1,굳
6243,강남진해장,2021.6.15,해장국 굿 그러나 직원들은 조금 더 친절핬으면 실망,0,28,해장국 굿 그러나 직원들은 조금 더 친절핬으면 실망
6244,구스아일랜드 브루하우스,2021.6.15,구스아일랜드,1,6,구스 아일랜드
6245,우동명가기리야마본진,2021.6.15,지하위치 1시 넘어갔는데도 대기했고 홀은 넓은 편인데 음식이 슬로우푸드처럼 만들어서 늦게 나옵니다 그래서 테이블회전이 느린 우동집  15000원으로 고가지만 우동 한 그릇에 정성이 느껴집니다    김치단무지는 테이블마다 놓이는 게 편리할꺼같은데 쟁반에 같이 셋팅해서 나오는게 서로 불편할듯  연대법대 나온 사장님이라 하셔서 뉴스등에서 봤는데 남에게 안맡기고 직접 일하시고 계시네요  정성이 느껴지는 좋은 퀄리티의 우동이었습니다 가격이 비싸서 5점만점은 아님,1,255,지하 위치 1시 넘어갔는데도 대기했고 홀은 넓은 편인데 음식이 슬로푸드처럼 만들어서 늦게 나옵니다 그래서 테이블 회전이 느린 가락국숫집 15000원으로 고가지만 가락국 수한 그릇에 정성이 느껴집니다 김치 단무지는 테이블마다 놓이는 게 편리할 거 같은 데 쟁반에 같이 세팅해서 나오는 게 서로 불편할 듯 연대 법대 나온 사장님이라 하셔서 뉴스 등에서 봤는데 남에게 안 맡기고 직접 일하시고 계시네요 정성이 느껴지는 좋은 퀄리티의 가락국수이었습니다 가격이 비싸서 5점 만점은 아님
6246,우동명가기리야마본진,2021.6.15,누군가 강남 맛집을 물어본다면 첫번째로 소개해주는 맛집,0,30,누군가 강남 맛 집을 물어본다면 첫 번째로 소개해주는 맛집
6247,봉추찜닭 강남주공공이점,2021.6.15,잘먹었어요,0,5,잘 먹었어요
6248,화기애애 강남역점,2021.6.16,별점 5개가 아깝지않은 집이였어요  맛있게 먹고 갑니다 웃음,0,33,별점 5개가 아깝지 않은 집이었어요 맛있게 먹고 갑니다 웃음
6249,화기애애 강남역점,2021.6.16,와규가 너무 맛있어서  정신없이 와규와규 먹고 왔네요  다음에도 와규와규 먹으러 또 올께욥웃음,0,52,와규가 너무 맛있어서 정신없이 와규와 규 먹고 왔네요 다음에 도와 구와 규먹으러 또 올게 욥 웃음
6250,화기애애 강남역점,2021.6.16,저렴한 가격에 갈비살을 가득 먹을 수 있어서 너무 좋았어요 분위기도 너무 좋았고 청결상태가 너무 깨끗해서 고기집 분위기가 너무 이색적이었어요,0,78,저렴한 가격에 갈빗살을 가득 먹을 수 있어서 너무 좋았어요 분위기도 너무 좋았고 청결 상태가 너무 깨끗해서 고깃집 분위기가 너무 이색적이었어요
6251,딘타이펑 강남점,2021.6.16,우육면이 너무 맛있습니다  너무 맛있어서 하나하나 시키다보니 엄청 먹게 된 곳,0,43,우육면이 너무 맛있습니다 너무 맛있어서 하나하나 시키다 보니 엄청 먹게 된 곳
6252,리샨 삼성타운점,2021.6.16,매운가지 볶음도 맛남,1,11,매운 가지볶음도 맛남
6253,느린마을양조장 강남점,2021.6.16,분위기 좋고 다양한 술을 먹을 수 있습니다,0,23,분위기 좋고 다양한 술을 먹을 수 있습니다
6254,담소사골순대 강남본점,2021.6.17,굳,0,1,굳
6255,딘타이펑 강남점,2021.6.17,맛있어요 헌데 점심엔 손님이 많아 너무 번잡하네요 실망,0,30,맛있어요 한데 점심엔 손님이 많아 너무 번잡하네요 실망
6256,청류벽,2021.6.18,,1,0,
6257,화기애애 강남역점,2021.6.18,쏘쏘,0,2,쏘 쏘
6258,백억하누 강남본점,2021.6.18,비쥬얼 좋고 전복삼합 여름보양식으로 부서회식으로 방문했는데 다들 아주 만족했어요다음 회식때도 재방문 무조건입니다웃음,1,64,비주얼 좋고 전복 삼합 여름 보양식으로 부서 회식으로 방문했는데 다들 아주 만족했어요 다음 회식 때도 재방문 무조건입니다 웃음
6259,백억하누 강남본점,2021.6.18,메뉴가 뭐 하나 아쉬운거 없이 골고루 맛있어요 분위기도 좋고 친절해서 기분좋은 식사했습니다,0,50,메뉴가 뭐 하나 아쉬운 거 없이 골고루 맛있어요 분위기도 좋고 친절해서 기분 좋은 식사했습니다
6260,백억하누 강남본점,2021.6.18,전체 인테리어부터 음식 비쥬얼이랑 맛까지 고급짐 그 자체예요 싱싱한 재료인게 티가 나네요 술이 술술 들어갑니다 또 갈듯요,1,67,전체 인테리어부터 음식 비주얼이랑 맛까지 고급 짐 그 자체 예 요 싱싱한 재료인 게 티가 나네 요술이 술술 들어갑니다 또 갈듯요
6261,강남진해장,2021.6.18,맛있어요,0,4,맛있어요
6262,구스아일랜드 브루하우스,2021.6.18,이정도 가격에 고퀄의 버거 게다가 직장인 점심의 일탈 낮맥까지 1에 살짝 기분만 낼 수 있는 느낌이라 딱 이에요 점심 먹으러 종종 갈예정입니다,1,79,이 정도 가격에 고퀄의 버거가 다가 직장인 점심의 일탈 낮 맥까지 1에 살짝 기분만 낼 수 있는 느낌이라 딱 이에 요 점심 먹으러 종종 갈 예정입니다
6263,을밀대 강남점,2021.6.19,굳,0,1,굳
6264,을밀대 강남점,2021.6.19,좋아요,0,3,좋아요
6265,화기애애 강남역점,2021.6.19,고기맛나게 잘머금 철판이 뾰족한 산모양이라 기름이 적당히 빠지고 불도 빠르게 안죽음 그래서 노릇하게 잘 구어지는듯 그런데이 모양의 단점이 철판 바깥쪽으로 고기가 떨어지고 마늘도 올리면 떨어짐불안해하면서 먹음 실망 바깥쪽으로 받쳐주는 뭔가가있어야 안정감이 있을듯함 고기는 신선하고 최고여씀,1,160,고기 맛나게 잘 미금 철판이 뾰족한 산 모양이라 기름이 적당히 빠지고 불도 빠르게 안 죽음 그래서 노릇하게 잘 구어지는 듯 그런데 이 모양의 단점이 철판 바깥쪽으로 고기가 떨어지고 마늘도 올리면 떨어짐 불안해하면서 먹음 실망 바깥쪽으로 받쳐주는 뭔가가 있어야 안정감이 있을 듯함 고기는 신선하고 최고였음
6266,고양이부엌,2021.6.19,맛있어요 근데 직원들이 친절하다는 느낌은 못 받았어요,1,29,맛있어요 근데 직원들이 친절하다는 느낌은 못 받았어요
6267,백억하누 강남본점,2021.6.19,코로나로 안전을 위해 알아보니 룸이 있어서 부모님 모시고 다녀왔어요 가족모임으로 제격인곳네요,0,51,코로나로 안전을 위해 알아보니 룸이 있어서 부모님 모시고 다녀왔어요 가족 모임으로 제격인 곳에요
6268,백억하누 강남본점,2021.6.19,주말 맛있는거 먹고 싶어서 가족들과 외식하고 왔어요정갈한 음식에 육회랑 완도산활전복 너무 내 스타일이예요,1,58,주말 맛있는 거 먹고 싶어서 가족들과 외식하고 왔어요 정갈한 음식에 육회랑 완도산 활전복 너무 내 스타일이에요
6269,백억하누 강남본점,2021.6.19,활전복에 1최고등급 차돌박이구이 먹었는데 활전복은 살아서 너무 싱싱하고 차돌박이는 너무 맛있어서 비교불가이네요,1,61,활전복에 1최고 등급 차돌박이 귀이 먹었는데 활전복은 살아서 너무 싱싱하고 차돌박이는 너무 맛있어서 비교 불가이네요
6270,백억하누 강남본점,2021.6.19,발렛도 해주시고 직원분들 친절하고 서비스 좋아요 맛은 당연하여 강추합니다 웃음,1,43,발레도 해주시고 직원분들 친절하고 서비스 좋아 이 맛은 당연하여 강추합니다 웃음
6271,백억하누 강남본점,2021.6.19,포장도 되고 배달도 됩니다  점심특선으로 식사하러 가기도 좋고  술한잔 하러 가기도 너무 좋습니다,1,54,포장도 되고 배달도 됩니다 점심 특선으로 식사하러 가기도 좋고 술 한잔하러 가기도 너무 좋습니다
6272,백억하누 강남본점,2021.6.19,차돌이랑 전복 빛깔부터 남달라요 찐맛집,1,21,차돌이랑 전복 빛깔부터 남달라 요진 맛 집
6273,백억하누 강남본점,2021.6.19,음식점이 강남역 완전 도심속이 전원 분위기라 기분이 좋아지네요멀리 안가고 기분좋고 여유롭게 식사하고 왔어요,1,59,음식점이 강남역 완전 도심 속 이 전원 분위기라 기분이 좋아지네요 멀리 안 가고 기분 좋고 여유롭게 식사하고 왔어요
6274,구스아일랜드 브루하우스,2021.6.19,맥주 강남맥주 구스 아일랜드 맥주 맛이야 다 아실거 같고 여기 버팔로윙 강추입니다 너무 맛있어요 같이 나오는 샐러리랑 먹으니 너무나 훌륭합니다 해피아워가 있어요,1,89,맥주 강남 맥주 구스 아일랜드 맥주 맛이야 다 아실 거 같고 여기 버펄로 윙 강추입니다 너무 맛있어 이같이 나오는 샐러리랑 먹으니 너무나 훌륭합니다 해피아워가 있어요
6275,구스아일랜드 브루하우스,2021.6.19,맥주 안주 다 맛있고 매장 분위기 너무 좋음 ,1,25,맥주 안주 다 맛있고 매장 분위기 너무 좋음
6276,딘타이펑 강남점,2021.6.19,오랜만에 소룡포 생각나서 먹었는데 역시맛있어요,0,25,오랜만에 소룡포 생각나서 먹었는데 역시 맛있어요
